육회바른연어 장항점,요리주점,"[['영업 종료', '11:00에 영업 시작', '11시 0분에 영업 시작', '매일', '11:00 - 24:00']]"
Sunny PUB,"맥주,호프","[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료', '매일', '19:00 - 05:00']]"
리파인 일산,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '금', '17:00 - 02:00', '01:00 라스트오더', '토', '17:00 - 02:00', '01:00 라스트오더', '일', '17:00 - 01:00', '00:00 라스트오더', '월', '17:00 - 01:00', '00:00 라스트오더', '화', '17:00 - 01:00', '00:00 라스트오더', '수', '17:00 - 01:00', '00:00 라스트오더', '목', '17:00 - 01:00', '00:00 라스트오더', '- 공휴일 전날은 02:00까지 영업합니다.']]"
구각 밤리단길 본점,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '금', '17:00 - 24:00', '토', '17:00 - 24:00', '일', '17:00 - 24:00', '월', '17:00 - 24:00', '화', '17:00 - 24:00', '수', '정기휴무 (매주 수요일)', '목', '17:00 - 24:00']]"
운도,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '매일', '17:00 - 01:00']]"
반야관 밤리단길점,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '금', '17:00 - 24:00', '23:00 라스트오더', '토', '17:00 - 24:00', '23:00 라스트오더', '일', '17:00 - 23:00', '22:00 라스트오더', '월', '정기휴무 (매주 월요일)', '화', '17:00 - 24:00', '23:00 라스트오더', '수', '17:00 - 24:00', '23:00 라스트오더', '목', '17:00 - 24:00', '23:00 라스트오더']]"
정발가옥 밤리단길본점,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '금', '17:00 - 01:00', '토', '16:00 - 01:00', '일', '16:00 - 01:00', '월', '17:00 - 01:00', '화', '정기휴무 (매주 화요일)', '수', '17:00 - 01:00', '목', '17:00 - 01:00']]"
코주방,요리주점,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '금', '17:00 - 24:00', '22:30 라스트오더', '토', '16:00 - 24:00', '22:30 라스트오더', '일', '16:00 - 24:00', '22:30 라스트오더', '월', '17:00 - 24:00', '22:30 라스트오더', '화', '17:00 - 24:00', '22:30 라스트오더', '수', '17:00 - 24:00', '22:30 라스트오더', '목', '17:00 - 24:00', '22:30 라스트오더']]"
이자카야 이로,이자카야,"[['영업 종료', '18:00에 영업 시작', '18시 0분에 영업 시작', '금', '18:00 - 01:00', '00:00 라스트오더', '토', '18:00 - 01:00', '00:00 라스트오더', '일', '정기휴무 (매주 일요일)', '월', '18:00 - 01:00', '00:00 라스트오더', '화', '18:00 - 01:00', '00:00 라스트오더', '수', '18:00 - 01:00', '00:00 라스트오더', '목', '18:00 - 01:00', '00:00 라스트오더']]"
노상가는술집,요리주점,"[['영업 종료', '16:30에 영업 시작', '16시 30분에 영업 시작', '매일', '16:30 - 02:00', '01:00 라스트오더']]"
